method,k,mean_return,std_return,seed_count
RL2-PPO,0,-77.417253,18.125750,3
RL2-PPO,1,-85.537387,24.921105,3
RL2-PPO,2,-85.635245,24.988880,3
RL2-PPO,3,-85.636434,24.990094,3
RL2-PPO,5,-85.636461,24.990118,3
