seed,iteration,policy_loss,value_loss,entropy,approx_kl,mean_task_return
7,1,-0.004276,696.579834,0.836677,0.010987,-210.746886
7,2,-0.002484,675.496094,0.835243,0.002617,-220.759899
7,3,-0.003255,703.967896,0.834730,0.000897,-212.555554
7,4,-0.001734,638.150146,0.834510,0.002123,-202.909031
7,5,0.000348,770.557251,0.834343,0.000988,-213.188689
7,6,-0.000191,954.608887,0.834066,0.001935,-249.907605
7,7,-0.001386,1066.718262,0.833739,0.002426,-266.178798
7,8,0.000686,1042.000610,0.833946,0.000648,-250.729090
7,9,-0.002394,1140.216553,0.834472,0.006481,-276.334803
7,10,-0.007018,503.354187,0.834991,-0.006367,-176.627531
7,11,0.009289,882.211060,0.835107,0.020944,-238.064727
7,12,0.006029,1272.457764,0.835010,0.007330,-284.916609
7,13,0.003739,1258.704712,0.835003,0.005197,-306.223488
7,14,-0.003654,1342.875488,0.835106,0.020195,-314.231662
7,15,-0.000439,742.495728,0.835213,0.007938,-223.718370
13,1,-0.003913,1230.006592,0.836733,0.005159,-277.487872
13,2,-0.004725,359.034790,0.835800,0.000796,-151.939994
13,3,-0.005520,909.335815,0.835287,0.001614,-243.387390
13,4,-0.001259,339.627228,0.835201,0.003192,-143.708073
13,5,-0.000553,417.395691,0.836015,-0.001416,-161.142141
13,6,-0.003967,900.650085,0.836853,0.001671,-238.380023
13,7,-0.002449,851.418091,0.837312,0.003871,-231.131110
13,8,-0.001847,266.503845,0.837347,0.005123,-144.773689
13,9,0.000904,295.650452,0.837019,0.004854,-150.689903
13,10,0.000286,730.134521,0.836812,0.001882,-225.881175
13,11,0.000808,547.609741,0.836542,0.001616,-204.104903
13,12,-0.001598,892.283508,0.836320,0.009905,-237.759158
13,13,0.002078,401.894775,0.836274,0.009954,-165.670188
13,14,0.006935,653.373657,0.836321,0.000736,-212.265823
13,15,0.001678,478.042938,0.836465,0.001880,-195.826547
23,1,-0.005039,173.551041,0.837846,0.000946,-111.938428
23,2,-0.002246,291.135498,0.837259,-0.000162,-140.733387
23,3,-0.001828,426.522400,0.837431,-0.001377,-167.147968
23,4,-0.000687,921.990356,0.837816,-0.001730,-238.809600
23,5,-0.001642,235.558258,0.837515,0.001546,-121.619207
23,6,-0.006020,406.185486,0.836992,0.006392,-151.435515
23,7,0.000357,656.462341,0.836550,0.000247,-216.626089
23,8,0.000134,538.344238,0.836011,0.002929,-171.783460
23,9,-0.001605,527.755615,0.835604,-0.001245,-193.760157
23,10,-0.001301,364.491913,0.835413,-0.000258,-164.101523
23,11,-0.004894,298.468872,0.835427,0.001034,-141.309119
23,12,0.001232,244.440491,0.835608,0.007853,-130.621746
23,13,0.003813,876.924072,0.835741,0.002624,-266.637219
23,14,0.000627,130.856598,0.835890,0.012359,-103.759008
23,15,0.001174,134.500504,0.836100,0.004700,-124.504697
