method,k,mean_return,std_return,seed_count
PEARL-SAC-style,0,-63.392962,0.000000,1
PEARL-SAC-style,1,-58.536338,0.000000,1
PEARL-SAC-style,2,-58.536338,0.000000,1
PEARL-SAC-style,3,-58.536338,0.000000,1
PEARL-SAC-style,5,-58.536338,0.000000,1
