method,k,mean_return,std_return,seed_count
PEARL-probabilistic,0,-49.795377,2.844484,3
PEARL-probabilistic,1,-59.764511,14.381501,3
PEARL-probabilistic,2,-58.894820,12.150653,3
PEARL-probabilistic,3,-53.561221,8.117894,3
PEARL-probabilistic,5,-56.328732,8.662986,3
