seed,k,mean_return,posterior_mean_norm,posterior_var_mean,posterior_kl
7,0,-76.574935,0.000000,1.000000,0.000000
7,1,-78.607656,0.184121,0.012308,6.838991
7,2,-71.772526,0.186887,0.006158,8.212451
7,3,-71.883048,0.182623,0.004099,9.021423
7,5,-77.824822,0.187058,0.002463,10.037305
