seed,iteration,q_loss,v_loss,policy_loss,kl_loss,mean_transitions_per_task
23,6,0.371998,0.011777,2.336826,3.063232,1080.00
23,7,0.386942,0.006478,2.344257,2.713965,1200.00
23,8,0.279943,0.015574,2.899569,2.663292,1320.00
23,9,0.337902,0.011070,3.104664,2.157206,1440.00
23,10,0.324922,0.010719,2.866557,2.371385,1560.00
23,11,0.486010,0.025884,3.143569,2.324679,1680.00
23,12,0.710699,0.122959,4.177213,2.575660,1800.00
23,13,0.475930,0.026555,4.572537,2.385184,1920.00
23,14,0.428316,0.020995,4.161513,2.408021,2040.00
23,15,1.917076,0.138013,4.505922,2.253628,2160.00
23,16,1.677020,0.041362,4.639827,2.086498,2280.00
23,17,1.164518,0.030111,4.290033,1.918459,2400.00
23,18,0.694774,0.027660,5.306558,2.218576,2520.00
23,19,0.709890,0.025152,4.501280,2.052910,2640.00
23,20,1.740659,0.074971,5.181092,2.645335,2760.00
23,21,2.509394,0.144219,5.594592,2.412961,2880.00
23,22,0.344792,0.105019,5.478612,2.200212,3000.00
23,23,1.798107,0.026143,6.213710,2.155610,3120.00
23,24,1.101993,0.025280,7.012081,3.167899,3240.00
23,25,1.889819,0.020322,6.505659,3.030692,3360.00
23,26,2.889745,0.027329,7.896605,2.719965,3480.00
23,27,1.131163,0.030324,7.432120,2.807874,3600.00
23,28,1.023603,0.024041,5.288410,1.899325,3720.00
23,29,1.158660,0.012165,7.574602,1.919157,3840.00
23,30,2.381786,0.019804,7.244363,2.006212,3960.00
23,31,3.116060,0.215139,8.054680,2.589142,4080.00
23,32,4.826399,0.109727,8.617878,3.122293,4200.00
23,33,2.763738,0.112123,6.402357,1.999566,4320.00
23,34,1.501402,0.025640,6.760927,1.975923,4440.00
23,35,3.262987,0.225153,8.604409,2.623991,4560.00
23,36,1.324625,0.059714,6.982101,1.785882,4680.00
23,37,2.771111,0.038431,8.461769,2.629892,4800.00
23,38,1.075774,0.044339,6.817335,1.866162,4920.00
23,39,3.552996,0.073541,9.976538,2.587250,5040.00
23,40,1.879675,0.039992,8.254553,2.375015,5160.00
23,41,1.768380,0.035926,6.729253,2.160139,5280.00
23,42,1.581586,0.082439,7.999144,2.205456,5400.00
23,43,1.883251,0.093862,8.170225,2.437477,5520.00
23,44,2.948433,0.351200,10.444858,2.544230,5640.00
23,45,2.642107,0.061766,7.590043,2.084254,5760.00
