seed,iteration,policy_loss,value_loss,mean_task_return
23,37,-0.019935,0.994683,-141.110846
23,38,0.145693,0.983191,-199.487164
23,39,-0.002672,0.992673,-155.773899
23,40,-0.038830,0.999987,-133.017925
23,41,0.110558,0.971261,-188.507592
23,42,0.005747,0.986113,-156.677008
23,43,0.174720,0.973105,-199.225108
23,44,0.108243,0.979732,-186.637695
23,45,0.002227,0.980969,-162.202734
23,46,-0.048728,0.998817,-135.785561
23,47,0.111560,0.971401,-191.806110
23,48,0.051251,0.980413,-157.964186
23,49,-0.084518,0.997168,-118.234004
23,50,-0.025155,0.979674,-143.121717
