method,k,mean_return,std_return,seed_count
RL2-recurrent,0,-72.471339,0.000000,1
RL2-recurrent,1,-72.619448,0.000000,1
RL2-recurrent,2,-72.620264,0.000000,1
RL2-recurrent,3,-72.620266,0.000000,1
RL2-recurrent,5,-72.620266,0.000000,1
